CODIGO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
14010010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0,0,50.5,0,0,0,0,0,15,25
29040260,0,0,45,0,0,20,4,20,0,25,0,0,0,0,0,0,0,0,7,27,5,0,0,40,0,0,0,0,0,70,5
29040250,0,0,47.5,0.8,0,0,0,2.7,0.3,29.3,0,0,0,0,0,0,0,0,2.5,35.5,0.5,0,0,49.3,0,0,10.5,0,4.3,10.3,4.4
25021280,4.5,0,0,3,30,5.7,0,3,2,8,0,0,0,50,0,0,0,0,3,0,0,7,19,0,0,0,7,0,0,0,3
29040300,0,0,0,40,0,0,0,78,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,45,15
14010020,0,0,0,0,0,47,0,8,20,0,0,0,0,0,0,0,5,0,2,0,15,0,5,25,0,0,17,5,0,16,5
29040020,0,0,0,0,0,0,20,37.2,5,0,0,0,0,0,0,0,0,0,7.4,8.8,2,14,10,0,0,0,0,0,0,7.6,0
25020700,4,0,0,1.5,20,0,0,0,40.4,0,0,0,0,16.4,0,0,0,8,0,5,0,0,25,0,0,0,4.5,15,0,56,1.5
25020960,0,5,0,0,0,27,5,0,3,0,0,0,5,0,0,0,0,6,0,0,0,5,0,0,0,0,26,0,7,6,5
13015040,11.2,0,1.4,22,0,8,0.6,5.6,31,2.4,0.4,1.2,0,100.2,2.5,6,0,5.6,0,24.4,0,2.7,0,0,0,0,35.6,12,0,89.5,3.1
29035040,1.9,0,0,5.4,4.7,0,0,0,0,0,,,,12.2,,0,0,34,0,29.4,0,16,,,,,1.8,0,7.2,0,13.4
13090050,0,0,0,4,0,52,0,11,0,0,0,0,5,19.8,0,0,0,0,0,0,0,0,0,0,8,3,12,4,0,0,20
13085010,6.2,5,0,2.3,0,,,,,15.5,3.8,5.2,8.2,40.5,0,0,0,0,0,0,0,0,12.7,1,0,0,8,0,0,4.7,3
13075020,0,0,0,0,2.5,0,0,4.2,22.8,0,0,18.5,2.2,36,0.1,0,7.2,0,17.7,45.2,0,0,3.1,0,0.7,0,9.5,1,0,3.5,2.5
13090040,0,0,8,10,15,0,0,0,0,0,0,0,0,15,0,0,0,0,17,0,0,0,0,22,0,0,25,0,0,45,10
25025270,0,0,0.5,6.7,1.2,3.9,0,6.2,4.7,0,0,1.3,0,5.1,0,0,0,0,0,0,0,0,1.9,0,0,0,2,0,0,38.7,1.8
13085030,2,0,0,1,0,0,11,32,0,5,3.2,0,10,39.2,1.4,0,0,0,0,0,4,0,1,0,0,0,7.4,6,0,92,56
25025030,3.4,0,0,0,41,0,0,0,65.4,0,26.8,16.5,0,13.2,0,0,0,3.4,0,0,0,0,14,0,11.4,0,2.6,15.6,0,22,0
25025380,0,0,0,5.6,0,6.8,0,0,20,0,0,25.4,2,36.4,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0
12045020,0,0,2.5,10.8,7.6,0,1.6,1.2,6,3.6,0,5.3,7.3,57.8,1,0,0,0,0,0.5,0,15.5,0.7,5.8,0,4,25.3,0,42,0.2,13
29040450,0.1,0.7,0,0,0,39.9,61.8,68.6,3,8.1,0.2,0,0,0,0,0.5,5.1,0,0,4.5,33.7,1.2,2.2,0,0,0,0.4,0,0,0,11.7
25020760,0,0,0,8,0,11,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
25025210,86.6,0,0,2.2,29.4,48.1,5.7,0,4.2,0,0,3,0,20.3,0,0,0,0,2.2,0,0,12.3,29.1,0,0,0,7.3,0,0,0,0
25025100,0.1,0,0,2.5,0.3,8.1,0,0,5,0,0,0,0,21,0,0,0,0,0,0,0,0,2.9,0,0,0,15.9,0,0,0.4,0
25020950,1,0,0,15,130,0,0,8,6,0,0,10,0,3,0,7,0,0,0,0,0,0,8,0,0,0,21,0,0,0,0
13075010,0,0,0,0,0,0,4.3,0,10,0,0,12.2,0,14.5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,30
12045010,0,0,0,25.8,9.2,0,1.2,4.8,0,3.8,0,0,11,58.8,3.8,0,0,0,0,0,0,0,14.2,0,0,0,0,9.8,,1.4,1.4
13030010,0,0,0,0,31,95.2,0,31,0,8.2,0,0,0,1.7,1.5,0,0,29,0,4.5,0,37.2,0,3.2,0,3.4,17,1.2,0,1.8,16.3
25021370,3,0,0,11,18,20,0,58,23,0,0,7,,,,18,0,0,4,0,0,0,12,0,20,0,2,16,0,0,5
29035000,0,0,2.7,1.2,0,0,0,0,0,0,0,3.5,0,1.2,0,0,25.9,0,18.3,0,0,2.2,0,0,3,15,49.7,0,1.1,23.1,0
25025240,0,0,0,58,45,0,10,0,85,0,0,35,0,120,0,25,0,0,0,0,0,0,19,0,40,10,0,0,5,50,5
29060090,0,6,1,14,5,45,3,2,15,2,0,0,20,0,0,10,22,2,8,8,4,1,13,7,0,0,0,1,4,6,0
28040030,5,0.2,0,25,0,0,0,0,7,3,0,0,0,0,0,0,0,0,40,3,10,0,9,0,0,0,0,0,5,0,0
28015070,0.7,0,0.9,8.1,0,7.2,9.3,0,2.5,0.6,0,0,0,0,0,0,2,4.1,0,8,0.2,0,1.6,0,0,0,0,0,10,1.5,0
28040010,6,0,6,2,12,32,7,5,37,20,0,0,0,0,3,0,0,36,12,40,0,0,58,7,0,0,,5,0,0,0
28010360,7,5,27,0,0,23,21,3,30,6,0,0,82,0,0,0,0,0,0,9,6,8,5,0,0,0,0,0,0,0,7
15060180,1,3,17,1,37,0,52,0,7,11,,84,1,0,4,0,0,0,0,0,1,8,45,0,0,,0,18,0,16,7
25021640,0,0,0,25,0,0,7.5,22.7,28.4,0.7,0,0,0,1.6,4.8,0,0,0,1.1,23.9,6.3,0,3.3,0,0,0,0,0,0,67.4,0
25020250,5,0,0,60,0,0,9,7,69,3,0,0,0,0,5,0,0,0,0,2,87,0,3,0,4,0,3,0,0,8,2
15030010,1,0,0,0,5,0,0,0,6,0,0,0,12,0,0,0,22,0,0,0,8,9,29,0,0,0,0,0,0,0,74
25021600,2,6,9,15,0,0,7,5,0,0,0,0,0,0,0,0,0,53,0,0,0,10,3,0,0,4,0,0,12,30,4
1506500197,3.4,0,0,1.4,0,0,0,0,2.3,0.5,0,0,17.5,0,0,0,4.9,0,0,0,0,0.5,2.4,0,0,25.5,0,0.5,0,51.6,0
28010340,,,,,,2,0,0,0,0,0,0,0,0,0,0,,6,12,3,0,0,18,0,0,0,0,0,0,0,0
29060200,0,0,0,0,0,63,0,21,0,60,0,0,0,0,0,0,0,0,0,40,10,42,0,0,0,0,8,0,0,0,0
15045010,34.6,0,7.8,0,11.2,,0,0,19.6,20.2,0,20,0,0,0,4.4,0,0,0,0,5.4,5.8,65.5,0,0,0,0,0,0,42.3,29.4
15075030,0,0,0,0,0,,0,14,6.1,,0,,2.9,0,5.8,0.8,0,0,0,0,0,0,0,0,0,0,,0,0,0,9.2
15085030,0,0,0,0,0,0,0.5,0,3.5,2.9,1.2,1,31.4,0,43.7,30,0,0.5,0,0,0.5,5.4,23.5,0,0,0,0,0.3,2,0.1,18.7
2804500195,3.7,1.3,4.4,15.2,0,56.3,0,4,0,0.2,1.5,0,0,0,0,0,0,0,0,0.7,4.7,0,0,0,0,0,11.1,0,33,0,0
29060040,0,0,0,0,2.5,31,0,27.5,1,52,0,0,0,0,1,0,0,0,0,61,8.5,10,0,0,0,0,3,0,0.5,0,0
25025002,0.5,0.7,0,26.8,,0.6,5,5,18.4,0,0,0,0,15.3,0,0,0,0,8.9,0,0,0,4.7,0,0,0,11.4,0,0,25,0.5
15010010,9,9,0,0,31,2.5,14.5,26.7,11,12,2,1.5,5,0,0,0,27,5.5,8,24,16.5,25.5,2.5,2.5,0,20.7,0,0,8.5,0,25
1501500196,20,25.7,0,0,41,27.2,6.3,48.3,12.5,5.3,0,4.2,28.2,0,0,0,49.5,21,33.8,42.6,18.4,21.6,6.4,7.5,4.5,25.2,4.3,0,34.5,0,4.6
