CODIGO,date,value
51020010,2025-04-29,12
52070010,2025-04-29,36
52050010,2025-04-29,4.8
52035040,2025-04-29,6.5
52050040,2025-04-29,17
52060040,2025-04-29,15.9
52050050,2025-04-29,33.8
52050100,2025-04-29,1.4
52090010,2025-04-29,0
52020070,2025-04-29,2.8
52050020,2025-04-29,33.9
52020050,2025-04-29,31
53070030,2025-04-29,59
52045080,2025-04-29,1.5
47015080,2025-04-29,15.3
52010020,2025-04-29,8
52070030,2025-04-29,14
52020190,2025-04-29,13.6
52045090,2025-04-29,
44010100,2025-04-29,5.9
52040070,2025-04-29,0.7
52010140,2025-04-29,1.8
52015010,2025-04-29,2.2
52045070,2025-04-29,2.7
47015070,2025-04-29,29.8
52050190,2025-04-29,3.4
52055200,2025-04-29,3.6
52025060,2025-04-29,8
35020280,2025-04-29,7.1
47075010,2025-04-29,3.5
35060120,2025-04-29,23
35067130,2025-04-29,26
21205980,2025-04-29,5.4
21205720,2025-04-29,1
24010170,2025-04-29,8.7
35020300,2025-04-29,0.6
24015120,2025-04-29,28.7
21195120,2025-04-29,24.5
21205740,2025-04-29,4.6
21195060,2025-04-29,30.5
23060190,2025-04-29,8.5
23065110,2025-04-29,14.4
21230120,2025-04-29,5
35020290,2025-04-29,10.7
21205420,2025-04-29,8.6
21206020,2025-04-29,
21206280,2025-04-29,0
23060260,2025-04-29,
2401500040,2025-04-29,4.5
24010070,2025-04-29,16.7
21205660,2025-04-29,18.9
23120240,2025-04-29,0
21201550,2025-04-29,4.2
21205920,2025-04-29,14
23060200,2025-04-29,19.3
24011060,2025-04-29,21.2
21205960,2025-04-29,11
21205940,2025-04-29,6
21206260,2025-04-29,11.8
21190310,2025-04-29,3.6
21206060,2025-04-29,7.5
35025060,2025-04-29,7.5
21205700,2025-04-29,7
21201640,2025-04-29,1.5
21201240,2025-04-29,0
21206650,2025-04-29,2.9
21201920,2025-04-29,2.7
35060180,2025-04-29,20.7
21200160,2025-04-29,4.5
21201630,2025-04-29,26.5
21206600,2025-04-29,12.2
21190030,2025-04-29,19.6
21195190,2025-04-29,1.7
21200620,2025-04-29,6.2
21190270,2025-04-29,2.3
21202160,2025-04-29,12.1
21190350,2025-04-29,4.7
21205910,2025-04-29,32
23060370,2025-04-29,32.5
17015010,2025-04-30,2.2
17025020,2025-04-30,0
15015050,2025-04-30,0
14015080,2025-04-30,0
15065180,2025-04-30,0
28025502,2025-04-30,0
13035501,2025-04-30,1
12015070,2025-04-30,26.3
23155030,2025-04-30,0.2
23195502,2025-04-30,0.5
16015010,2025-04-30,0
27015330,2025-04-30,5.3
23085270,2025-04-30,7.4
26155110,2025-04-30,4.2
26135040,2025-04-30,1.6
26125061,2025-04-30,3.9
21245040,2025-04-30,4.3
21205791,2025-04-30,0
21202280,2025-04-30,0.1
26075040,2025-04-30,6.5
21115020,2025-04-30,3.8
52045020,2025-04-30,3.8
52055230,2025-04-30,0
11045010,2025-04-30,5.5
53115010,2025-04-30,22.4
37055010,2025-04-30,27.7
38015030,2025-04-30,1.2
35035020,2025-04-30,2.2
34015010,2025-04-30,0
48015050,2025-04-30,0
26125120,2025-04-30,
2120080,2025-04-30,0
2401042,2025-04-30,0
2120659,2025-04-30,0.9
2120629,2025-04-30,5
2120516,2025-04-30,0
2401036,2025-04-30,0
2119514,2025-04-30,0.5
2306517,2025-04-30,0.1
2120112,2025-04-30,0
2120647,2025-04-30,0.5
2306039,2025-04-30,7.8
2120646,2025-04-30,1.5
2119022,2025-04-30,5.7
2306507,2025-04-30,0
2306033,2025-04-30,0
2120644,2025-04-30,5
2401043,2025-04-30,0.2
2401513,2025-04-30,0
2401115,2025-04-30,0.1
2120190,2025-04-30,0
2120074,2025-04-30,0
2120652,2025-04-30,2.5
2120174,2025-04-30,0.2
2120166,2025-04-30,0
2119046,2025-04-30,1.3
